t,temperature,wind_speed,wind_gust_speed,rain_level,average_flow
2019-11-25T00:00:00+00:00,8.7,11.0,24.0,0.0,218.1
2019-11-25T01:00:00+00:00,8.8,9.0,20.0,0.0,144.3
2019-11-25T02:00:00+00:00,8.9,8.0,18.0,0.0,110.0
2019-11-25T03:00:00+00:00,8.8,7.0,18.0,0.0,143.8
2019-11-25T04:00:00+00:00,8.8,10.0,23.0,0.0,315.1
2019-11-25T05:00:00+00:00,8.8,10.0,21.0,0.0,626.9
2019-11-25T06:00:00+00:00,8.8,11.0,27.0,0.0,854.2
2019-11-25T07:00:00+00:00,8.8,12.0,25.0,0.0,1011.7
2019-11-25T08:00:00+00:00,8.5,13.0,26.0,0.0,994.2
2019-11-25T09:00:00+00:00,8.5,12.0,26.0,0.0,935.9
2019-11-25T10:00:00+00:00,9.6,11.0,23.0,0.0,939.3
2019-11-25T11:00:00+00:00,11.6,20.0,39.0,0.0,959.8
2019-11-25T12:00:00+00:00,12.8,18.0,37.0,0.0,956.2
2019-11-25T13:00:00+00:00,13.2,17.0,44.0,0.0,999.5
2019-11-25T14:00:00+00:00,12.2,17.0,40.0,0.0,
2019-11-25T15:00:00+00:00,11.0,14.0,36.0,0.0,967.3
2019-11-25T16:00:00+00:00,10.6,12.0,30.0,0.2,970.0
2019-11-25T17:00:00+00:00,10.5,10.0,28.0,0.0,1015.4
2019-11-25T18:00:00+00:00,10.6,11.0,27.0,0.0,1004.3
2019-11-25T19:00:00+00:00,10.7,11.0,24.0,0.0,850.4
2019-11-25T20:00:00+00:00,10.9,9.0,23.0,0.0,643.9
2019-11-25T21:00:00+00:00,11.1,8.0,20.0,0.0,584.2
2019-11-25T22:00:00+00:00,11.2,7.0,24.0,0.0,518.2
2019-11-25T23:00:00+00:00,11.4,9.0,18.0,0.0,349.5
2019-11-26T00:00:00+00:00,11.3,8.0,19.0,0.0,221.9
2019-11-26T01:00:00+00:00,11.4,11.0,24.0,0.0,151.0
2019-11-26T02:00:00+00:00,11.3,10.0,22.0,0.0,120.4
2019-11-26T03:00:00+00:00,10.9,13.0,29.0,0.0,161.2
2019-11-26T04:00:00+00:00,10.9,11.0,26.0,0.0,321.0
2019-11-26T05:00:00+00:00,10.8,12.0,25.0,0.0,634.9
2019-11-26T06:00:00+00:00,10.7,10.0,23.0,0.0,873.9
